id,dataset,label,subtype,subject,body,style,sender_type,difficulty,ner_organizations,ner_people,ner_locations,ner_job_titles,ner_dates,ner_urls
JOB-00322,job_search,rejection,generic_automated_rejection,Application outcome,The review for the UX Designer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Cedar Digital.,human,recruiter,medium,Cedar Digital,,,UX Designer,,
JOB-00323,job_search,application_notification,application_submitted,Your application has been submitted,Your application for DevOps Engineer at Oakridge Financial was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,automated,ats,medium,Oakridge Financial,,,DevOps Engineer,,
JOB-00324,job_search,rejection,post_final_interview,Your application with Redwood Solutions,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,automated,company,hard,Redwood Solutions,,,,,
JOB-00325,job_search,rejection,different_direction,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,hr,medium,,,,,,
JOB-00326,job_search,rejection,different_direction,Update on your Marketing Manager application,"Thank you for applying for the Marketing Manager position at Lighthouse Cloud. After careful consideration, we have decided not to move forward with your application at this time.",human,recruiter,easy,Lighthouse Cloud,,,Marketing Manager,,
JOB-00327,job_search,acceptance_progression,first_interview,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Product Manager role.,automated,hiring_manager,medium,,,,Product Manager,,
JOB-00328,job_search,rejection,personalized_recruiter,Your application with Summit Retail,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,automated,ats,hard,Summit Retail,,,,,
JOB-00329,job_search,application_notification,application_status_update,More opportunities for you,"Thank you for applying for Software Engineer. While your application is being reviewed, you may also be interested in other roles that match your profile at BrightPath Energy. Please note that this message is only a confirmation that we received your application.",automated,ats,easy,BrightPath Energy,,,Software Engineer,,
JOB-00330,job_search,application_notification,application_submitted,Thanks for applying to Silverline Systems,We appreciate your interest in the Product Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,recruiter,easy,Silverline Systems,,,Product Manager,,
JOB-00331,job_search,application_notification,thank_you_for_applying,Application received — Marketing Manager,Thank you for your interest in the Marketing Manager position at Lighthouse Cloud. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,semi_automated,ats,hard,Lighthouse Cloud,,,Marketing Manager,,
JOB-00332,job_search,acceptance_progression,offer,Offer from BrightPath Energy,"Hello Dana,

We are pleased to offer you the Financial Analyst position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Munich.",human,ats,hard,BrightPath Energy,,Munich,Financial Analyst,,https://example.test/offer.
JOB-00333,job_search,acceptance_progression,availability_request,Assessment invitation,"Hello Robin,

We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the DevOps Engineer role.

The interview team is based in Stockholm.",human,recruiter,easy,,,Stockholm,DevOps Engineer,,
JOB-00334,job_search,acceptance_progression,first_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,automated,hr,medium,,,,,,
JOB-00335,job_search,acceptance_progression,assessment,Offer from Cedar Digital,"We are pleased to offer you the Operations Specialist position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

Best regards,
Daniel Patel",human,hr,medium,Cedar Digital,Daniel Patel,,Operations Specialist,,https://example.test/offer.
JOB-00336,job_search,rejection,other_candidates,Application outcome,The review for the Product Manager position is now complete. We will be moving forward with another candidate. Thank you for your interest in Northstar Technologies.,automated,ats,hard,Northstar Technologies,,,Product Manager,,
JOB-00337,job_search,rejection,different_direction,Your application with Oakridge Financial,"We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.

Best regards,
Sofia Miller",automated,ats,easy,Oakridge Financial,Sofia Miller,,,,
JOB-00338,job_search,rejection,position_related,Update on your Frontend Developer application,"Thank you for applying for the Frontend Developer position at Silverline Systems. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,company,hard,Silverline Systems,,,Frontend Developer,,
JOB-00339,job_search,rejection,post_application_review,Update on your Project Coordinator application,"Thank you for applying for the Project Coordinator position at Northstar Technologies. After careful consideration, we have will not be progressing with your application at this time.",human,recruiter,easy,Northstar Technologies,,,Project Coordinator,,
JOB-00340,job_search,application_notification,application_submitted,Thanks for applying to BrightPath Energy,We appreciate your interest in the Customer Success Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,ats,hard,BrightPath Energy,,,Customer Success Manager,,
JOB-00341,job_search,application_notification,application_submitted,Thanks for applying to Redwood Solutions,We appreciate your interest in the Project Coordinator opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,ats,hard,Redwood Solutions,,,Project Coordinator,,
JOB-00342,job_search,rejection,position_related,Update on your Financial Analyst application,"Thank you for applying for the Financial Analyst position at Meridian Health. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,hr,easy,Meridian Health,,,Financial Analyst,,
JOB-00343,job_search,acceptance_progression,second_interview,Offer from Cedar Digital,"We are pleased to offer you the Software Engineer position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",semi_automated,hiring_manager,medium,Cedar Digital,,,Software Engineer,,https://example.test/offer.
JOB-00344,job_search,rejection,other_candidates,Your application with Horizon Labs,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,human,company,medium,Horizon Labs,,,,,
JOB-00345,job_search,rejection,different_direction,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,company,hard,,,,,,
JOB-00346,job_search,rejection,different_direction,Application outcome,The review for the Frontend Developer position is now complete. We will be moving forward with another candidate. Thank you for your interest in Vertex Consulting.,human,company,medium,Vertex Consulting,,,Frontend Developer,,
JOB-00347,job_search,rejection,other_candidates,Application outcome,The review for the Content Strategist position is now complete. We will be moving forward with another candidate. Thank you for your interest in Horizon Labs.,automated,ats,hard,Horizon Labs,,,Content Strategist,,
JOB-00348,job_search,acceptance_progression,availability_request,Offer from BluePeak Analytics,"Hello Olivia,

We are pleased to offer you the Project Coordinator position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Oslo.",automated,company,easy,BluePeak Analytics,,Oslo,Project Coordinator,,https://example.test/offer.
JOB-00349,job_search,application_notification,application_submitted,Application received — Software Engineer,Thank you for your interest in the Software Engineer position at Horizon Labs. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,automated,recruiter,hard,Horizon Labs,,,Software Engineer,,
JOB-00350,job_search,acceptance_progression,offer,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Project Coordinator role.,automated,company,medium,,,,Project Coordinator,,
JOB-00351,job_search,rejection,generic_automated_rejection,Update on your Customer Success Manager application,"Thank you for applying for the Customer Success Manager position at Vertex Consulting. After careful consideration, we have decided not to move forward with your application at this time.",automated,recruiter,easy,Vertex Consulting,,,Customer Success Manager,,
JOB-00352,job_search,rejection,other_candidates,Your application with Silverline Systems,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,semi_automated,hr,easy,Silverline Systems,,,,,
JOB-00353,job_search,rejection,generic_automated_rejection,Update on your Marketing Manager application,"Thank you for applying for the Marketing Manager position at Atlas Software. After careful consideration, we have decided not to move forward with your application at this time.",automated,company,easy,Atlas Software,,,Marketing Manager,,
JOB-00354,job_search,application_notification,application_recommended_jobs,Your application has been submitted,Your application for Financial Analyst at BluePeak Analytics was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.,automated,company,easy,BluePeak Analytics,,,Financial Analyst,,
JOB-00355,job_search,acceptance_progression,final_interview,Interview invitation — Marketing Manager,"Hello Liam,

We have reviewed your application for the Marketing Manager position at Meridian Health and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.

The interview team is based in Paris.",semi_automated,ats,medium,Meridian Health,,Paris,Marketing Manager,,https://example.test/schedule
JOB-00356,job_search,application_notification,application_received,Your application has been submitted,Your application for UX Designer at Aurora Mobility was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.,human,recruiter,medium,Aurora Mobility,,,UX Designer,,
JOB-00357,job_search,rejection,post_interview,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",human,company,hard,,,,Customer Success Manager,,
JOB-00358,job_search,acceptance_progression,assessment,Interview invitation — UX Designer,We have reviewed your application for the UX Designer position at Summit Retail and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,semi_automated,company,hard,Summit Retail,,,UX Designer,,https://example.test/schedule
JOB-00359,job_search,application_notification,application_submitted,More opportunities for you,"Thank you for applying for Product Manager. While your application is being reviewed, you may also be interested in other roles that match your profile at Horizon Labs.",automated,recruiter,easy,Horizon Labs,,,Product Manager,,
JOB-00360,job_search,acceptance_progression,other_progression,Offer from Meridian Health,"We are pleased to offer you the DevOps Engineer position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",semi_automated,hr,easy,Meridian Health,,,DevOps Engineer,,https://example.test/offer.
JOB-00361,job_search,application_notification,application_under_review,Thanks for applying to Aurora Mobility,We appreciate your interest in the Frontend Developer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time. Please note that this message is only a confirmation that we received your application.,human,hiring_manager,hard,Aurora Mobility,,,Frontend Developer,,
JOB-00362,job_search,rejection,other_candidates,Regarding your application,"Thank you for speaking with our team about the Software Engineer role. Unfortunately, we will not be progressing your application to the next stage.

Best regards,
Chris Nielsen",automated,hr,easy,,Chris Nielsen,,Software Engineer,,
JOB-00363,job_search,rejection,generic_automated_rejection,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",automated,ats,easy,,,,Customer Success Manager,,
JOB-00364,job_search,acceptance_progression,first_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,human,company,easy,,,,,,
JOB-00365,job_search,rejection,post_final_interview,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,ats,easy,,,,,,
JOB-00366,job_search,application_notification,other_application_system,Application status update,Your application for DevOps Engineer is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete. Please note that this message is only a confirmation that we received your application.,human,ats,easy,,,,DevOps Engineer,,
JOB-00367,job_search,acceptance_progression,first_interview,Interview invitation — Machine Learning Engineer,We have reviewed your application for the Machine Learning Engineer position at Vertex Consulting and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,semi_automated,company,medium,Vertex Consulting,,,Machine Learning Engineer,,https://example.test/schedule
JOB-00368,job_search,rejection,other_candidates,Update on your Marketing Manager application,"Thank you for applying for the Marketing Manager position at Redwood Solutions. After careful consideration, we have decided not to move forward with your application at this time.",human,hr,easy,Redwood Solutions,,,Marketing Manager,,
JOB-00369,job_search,rejection,other_candidates,Application outcome,The review for the Machine Learning Engineer position is now complete. We will be moving forward with another candidate. Thank you for your interest in BrightPath Energy.,human,hiring_manager,easy,BrightPath Energy,,,Machine Learning Engineer,,
JOB-00370,job_search,acceptance_progression,first_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,human,hr,adversarial,,,,,,
JOB-00371,job_search,acceptance_progression,second_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,human,company,easy,,,,,,
JOB-00372,job_search,application_notification,application_submitted,Application status update,Your application for Product Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,semi_automated,recruiter,easy,,,,Product Manager,,
JOB-00373,job_search,rejection,other_candidates,Update on your Machine Learning Engineer application,"Thank you for applying for the Machine Learning Engineer position at Vertex Consulting. After careful consideration, we have decided not to move forward with your application at this time.

Best regards,
Maya Garcia",automated,hr,hard,Vertex Consulting,Maya Garcia,,Machine Learning Engineer,,
JOB-00374,job_search,acceptance_progression,recruiter_screen,Offer from Cedar Digital,"We are pleased to offer you the Data Analyst position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",human,recruiter,easy,Cedar Digital,,,Data Analyst,,https://example.test/offer.
JOB-00375,job_search,acceptance_progression,move_forward,Interview invitation — Marketing Manager,We have reviewed your application for the Marketing Manager position at Horizon Labs and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,automated,ats,easy,Horizon Labs,,,Marketing Manager,,https://example.test/schedule
JOB-00376,job_search,application_notification,application_status_update,Application received — Operations Specialist,Thank you for your interest in the Operations Specialist position at Summit Retail. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,human,hr,easy,Summit Retail,,,Operations Specialist,,
JOB-00377,job_search,acceptance_progression,final_interview,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Operations Specialist role.,automated,company,easy,,,,Operations Specialist,,
JOB-00378,job_search,application_notification,other_application_system,Your application has been submitted,Your application for Customer Success Manager at Atlas Software was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,human,company,easy,Atlas Software,,,Customer Success Manager,,
JOB-00379,job_search,acceptance_progression,move_forward,Offer from Atlas Software,"We are pleased to offer you the Data Analyst position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.",human,company,medium,Atlas Software,,,Data Analyst,,https://example.test/offer.
JOB-00380,job_search,acceptance_progression,first_interview,Interview invitation — Business Analyst,"Hello Sofia,

We have reviewed your application for the Business Analyst position at BluePeak Analytics and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.

The interview team is based in Berlin.",human,company,adversarial,BluePeak Analytics,,Berlin,Business Analyst,,https://example.test/schedule
JOB-00381,job_search,application_notification,application_submitted,Thanks for applying to Aurora Mobility,We appreciate your interest in the Content Strategist opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,company,medium,Aurora Mobility,,,Content Strategist,,
JOB-00382,job_search,rejection,post_interview,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,company,medium,,,,,,
JOB-00383,job_search,acceptance_progression,recruiter_screen,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,human,recruiter,easy,,,,,,
JOB-00384,job_search,rejection,different_direction,Regarding your application,"Thank you for speaking with our team about the Project Coordinator role. Unfortunately, we will not be progressing your application to the next stage.",automated,hiring_manager,medium,,,,Project Coordinator,,
JOB-00385,job_search,application_notification,application_under_review,Thanks for applying to Lighthouse Cloud,We appreciate your interest in the Product Manager opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,company,medium,Lighthouse Cloud,,,Product Manager,,
JOB-00386,job_search,application_notification,application_submitted,Application received — Project Coordinator,Thank you for your interest in the Project Coordinator position at Pinecrest Media. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,automated,company,medium,Pinecrest Media,,,Project Coordinator,,
JOB-00387,job_search,acceptance_progression,move_forward,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,automated,hr,easy,,,,,,
JOB-00388,job_search,rejection,post_interview,Update on your Content Strategist application,"Thank you for applying for the Content Strategist position at Meridian Health. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,ats,medium,Meridian Health,,,Content Strategist,,
JOB-00389,job_search,rejection,generic_automated_rejection,Update on your Software Engineer application,"Thank you for applying for the Software Engineer position at Aurora Mobility. After careful consideration, we have will not be progressing with your application at this time.",automated,hr,medium,Aurora Mobility,,,Software Engineer,,
JOB-00390,job_search,rejection,post_application_review,Your application with Redwood Solutions,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,semi_automated,recruiter,hard,Redwood Solutions,,,,,
JOB-00391,job_search,application_notification,thank_you_for_applying,Application received — Operations Specialist,Thank you for your interest in the Operations Specialist position at Redwood Solutions. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,automated,hiring_manager,easy,Redwood Solutions,,,Operations Specialist,,
JOB-00392,job_search,application_notification,other_application_system,Your application has been submitted,Your application for Software Engineer at Vertex Consulting was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.,semi_automated,company,hard,Vertex Consulting,,,Software Engineer,,
JOB-00393,job_search,rejection,different_direction,Your application with Silverline Systems,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,semi_automated,ats,medium,Silverline Systems,,,,,
JOB-00394,job_search,application_notification,thank_you_for_applying,Application status update,Your application for Operations Specialist is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,semi_automated,hiring_manager,adversarial,,,,Operations Specialist,,
JOB-00395,job_search,rejection,post_application_review,Update on your Frontend Developer application,"Thank you for applying for the Frontend Developer position at Meridian Health. After careful consideration, we have decided not to move forward with your application at this time.",semi_automated,ats,medium,Meridian Health,,,Frontend Developer,,
JOB-00396,job_search,rejection,post_application_review,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,recruiter,easy,,,,,,
JOB-00397,job_search,acceptance_progression,offer,Assessment invitation,"We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Marketing Manager role.

Best regards,
Noah Larsson",human,hr,easy,,Noah Larsson,,Marketing Manager,,
JOB-00398,job_search,application_notification,application_submitted,Your application has been submitted,Your application for Project Coordinator at BrightPath Energy was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information.,automated,hr,medium,BrightPath Energy,,,Project Coordinator,,
JOB-00399,job_search,rejection,post_application_review,Update on your Frontend Developer application,"Thank you for applying for the Frontend Developer position at Meridian Health. After careful consideration, we have decided not to move forward with your application at this time.",human,hiring_manager,medium,Meridian Health,,,Frontend Developer,,
JOB-00400,job_search,application_notification,application_submitted,More opportunities for you,"Thank you for applying for Software Engineer. While your application is being reviewed, you may also be interested in other roles that match your profile at Aurora Mobility.",semi_automated,company,medium,Aurora Mobility,,,Software Engineer,,
JOB-00401,job_search,acceptance_progression,first_interview,We'd like to move forward,"Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.

Best regards,
Dana Chen",automated,company,medium,,Dana Chen,,,,
JOB-00402,job_search,application_notification,thank_you_for_applying,Application status update,Your application for Marketing Manager is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.,automated,ats,easy,,,,Marketing Manager,,
JOB-00403,job_search,acceptance_progression,first_interview,Interview invitation — Frontend Developer,"Hello Chris,

We have reviewed your application for the Frontend Developer position at Aurora Mobility and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.

The interview team is based in Amsterdam.",semi_automated,recruiter,hard,Aurora Mobility,,Amsterdam,Frontend Developer,,https://example.test/schedule
JOB-00404,job_search,acceptance_progression,first_interview,Interview invitation — UX Designer,We have reviewed your application for the UX Designer position at Redwood Solutions and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,semi_automated,hr,medium,Redwood Solutions,,,UX Designer,,https://example.test/schedule
JOB-00405,job_search,application_notification,thank_you_for_applying,Your application has been submitted,Your application for Data Analyst at Northstar Technologies was successfully submitted. This confirmation does not indicate a hiring decision. We appreciate your interest and will review your information. Please note that this message is only a confirmation that we received your application.,automated,recruiter,easy,Northstar Technologies,,,Data Analyst,,
JOB-00406,job_search,application_notification,application_received,Application received — DevOps Engineer,Thank you for your interest in the DevOps Engineer position at Northstar Technologies. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,human,hr,easy,Northstar Technologies,,,DevOps Engineer,,
JOB-00407,job_search,rejection,post_application_review,Regarding your application,"Thank you for speaking with our team about the Customer Success Manager role. Unfortunately, we will not be progressing your application to the next stage.",semi_automated,hiring_manager,medium,,,,Customer Success Manager,,
JOB-00408,job_search,application_notification,thank_you_for_applying,Application received — Project Coordinator,Thank you for your interest in the Project Coordinator position at Vertex Consulting. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step. Please note that this message is only a confirmation that we received your application.,semi_automated,ats,medium,Vertex Consulting,,,Project Coordinator,,
JOB-00409,job_search,acceptance_progression,final_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,human,hiring_manager,easy,,,,,,
JOB-00410,job_search,application_notification,application_received,Thanks for applying to Lighthouse Cloud,We appreciate your interest in the Software Engineer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time. Please note that this message is only a confirmation that we received your application.,automated,hr,hard,Lighthouse Cloud,,,Software Engineer,,
JOB-00411,job_search,application_notification,application_submitted,More opportunities for you,"Thank you for applying for Sales Development Representative. While your application is being reviewed, you may also be interested in other roles that match your profile at BrightPath Energy.",automated,company,hard,BrightPath Energy,,,Sales Development Representative,,
JOB-00412,job_search,application_notification,application_received,More opportunities for you,"Thank you for applying for Product Manager. While your application is being reviewed, you may also be interested in other roles that match your profile at Redwood Solutions.",human,recruiter,medium,Redwood Solutions,,,Product Manager,,
JOB-00413,job_search,application_notification,application_under_review,Application status update,"Your application for DevOps Engineer is currently under review. We are assessing applications against the requirements of the role and will provide an update when the review is complete.

Best regards,
Chris Brown",human,recruiter,easy,,Chris Brown,,DevOps Engineer,,
JOB-00414,job_search,acceptance_progression,offer,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,semi_automated,hr,hard,,,,,,
JOB-00415,job_search,rejection,post_final_interview,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,recruiter,hard,,,,,,
JOB-00416,job_search,rejection,post_final_interview,Application outcome,The review for the Content Strategist position is now complete. We will be moving forward with another candidate. Thank you for your interest in Oakridge Financial.,semi_automated,hr,easy,Oakridge Financial,,,Content Strategist,,
JOB-00417,job_search,rejection,other_candidates,Your application with Oakridge Financial,We appreciate the time you invested in the recruitment process. We have decided to continue with other candidates whose experience more closely matches the current requirements.,automated,company,easy,Oakridge Financial,,,,,
JOB-00418,job_search,application_notification,application_recommended_jobs,Thanks for applying to Aurora Mobility,We appreciate your interest in the DevOps Engineer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,automated,hiring_manager,hard,Aurora Mobility,,,DevOps Engineer,,
JOB-00419,job_search,application_notification,application_received,More opportunities for you,"Thank you for applying for Financial Analyst. While your application is being reviewed, you may also be interested in other roles that match your profile at Horizon Labs.",semi_automated,hiring_manager,easy,Horizon Labs,,,Financial Analyst,,
JOB-00420,job_search,rejection,generic_automated_rejection,Application outcome,The review for the Marketing Manager position is now complete. We will be moving forward with another candidate. Thank you for your interest in Pinecrest Media.,semi_automated,company,medium,Pinecrest Media,,,Marketing Manager,,
JOB-00421,job_search,rejection,post_application_review,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",automated,company,medium,,,,,,
JOB-00422,job_search,application_notification,application_under_review,Application received — Marketing Manager,Thank you for your interest in the Marketing Manager position at Northstar Technologies. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,semi_automated,hiring_manager,hard,Northstar Technologies,,,Marketing Manager,,
JOB-00423,job_search,acceptance_progression,first_interview,Interview invitation — Marketing Manager,We have reviewed your application for the Marketing Manager position at BluePeak Analytics and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.,human,ats,medium,BluePeak Analytics,,,Marketing Manager,,https://example.test/schedule
JOB-00424,job_search,acceptance_progression,offer,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,semi_automated,hiring_manager,medium,,,,,,
JOB-00425,job_search,rejection,generic_automated_rejection,Application outcome,The review for the Project Coordinator position is now complete. We will be moving forward with another candidate. Thank you for your interest in Summit Retail.,automated,company,medium,Summit Retail,,,Project Coordinator,,
JOB-00426,job_search,acceptance_progression,final_interview,Interview invitation — UX Designer,"Hello Emma,

We have reviewed your application for the UX Designer position at Redwood Solutions and would like to invite you to the next stage of the process. Please use https://example.test/schedule to select a convenient time.

The interview team is based in London.",semi_automated,ats,easy,Redwood Solutions,,London,UX Designer,,https://example.test/schedule
JOB-00427,job_search,acceptance_progression,offer,Next step in your application,"Hello Alex,

We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.

The interview team is based in Copenhagen.",automated,hiring_manager,easy,,,Copenhagen,,,
JOB-00428,job_search,application_notification,application_recommended_jobs,Application received — Sales Development Representative,Thank you for your interest in the Sales Development Representative position at Oakridge Financial. We have received your application and our hiring team will review it. We will contact you if there is a suitable next step.,automated,hiring_manager,medium,Oakridge Financial,,,Sales Development Representative,,
JOB-00429,job_search,rejection,post_application_review,Update on your Financial Analyst application,"Thank you for applying for the Financial Analyst position at Horizon Labs. After careful consideration, we have will not be progressing with your application at this time.",automated,ats,easy,Horizon Labs,,,Financial Analyst,,
JOB-00430,job_search,rejection,post_final_interview,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",human,hiring_manager,easy,,,,,,
JOB-00431,job_search,rejection,post_application_review,Recruitment update,"We were impressed by your background and appreciated the opportunity to learn more about you. At this stage, however, we have chosen to take the process in a different direction.",semi_automated,ats,medium,,,,,,
JOB-00432,job_search,acceptance_progression,second_interview,Next step in your application,"We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.

Best regards,
Taylor Wilson",human,company,easy,,Taylor Wilson,,,,
JOB-00433,job_search,acceptance_progression,second_interview,Offer from BrightPath Energy,"Hello Jordan,

We are pleased to offer you the Content Strategist position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Helsinki.",human,hr,medium,BrightPath Energy,,Helsinki,Content Strategist,,https://example.test/offer.
JOB-00434,job_search,acceptance_progression,final_interview,We'd like to move forward,Thank you for speaking with us. The team enjoyed learning about your experience and would like to continue the conversation. We would like to arrange the next interview with you.,semi_automated,ats,adversarial,,,,,,
JOB-00435,job_search,application_notification,application_under_review,Thanks for applying to Pinecrest Media,We appreciate your interest in the Frontend Developer opportunity. Your application is now with our recruitment team. You do not need to take any further action at this time.,semi_automated,hiring_manager,easy,Pinecrest Media,,,Frontend Developer,,
JOB-00436,job_search,rejection,different_direction,Update on your UX Designer application,"Thank you for applying for the UX Designer position at Northstar Technologies. After careful consideration, we have decided not to move forward with your application at this time.",human,recruiter,hard,Northstar Technologies,,,UX Designer,,
JOB-00437,job_search,acceptance_progression,second_interview,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the Project Coordinator role.,automated,hr,medium,,,,Project Coordinator,,
JOB-00438,job_search,acceptance_progression,final_interview,Next step in your application,We are pleased to let you know that your application has progressed to the next stage. Please provide your availability for an interview with the hiring team.,automated,hiring_manager,medium,,,,,,
JOB-00439,job_search,acceptance_progression,first_interview,Offer from Redwood Solutions,"Hello Maya,

We are pleased to offer you the Product Manager position. The offer details, proposed start date, and terms are available in the candidate portal at https://example.test/offer.

The interview team is based in Paris.",automated,hiring_manager,easy,Redwood Solutions,,Paris,Product Manager,,https://example.test/offer.
JOB-00440,job_search,acceptance_progression,recruiter_screen,Assessment invitation,We would like to invite you to complete the next stage of our selection process. The assessment will help the team evaluate your skills for the UX Designer role.,automated,ats,adversarial,,,,UX Designer,,
